County,Population2022,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,,,,,
StauntonCity,25904,Augusta,,,,,,,,,,,,,,
SuffolkCity,98537,IsleOfWight,Southampton,ChesapeakeCity,NewportNewsCity,HamptonCity,PortsmouthCity,,,,,,,,,
Surry,6527,PrinceGeorge,Sussex,IsleOfWight,Southampton,WilliamsburgCity,NewportNewsCity,JamesCity,CharlesCity,,,,,,,
Sussex,10680,Greensville,Southampton,PrinceGeorge,Surry,Dinwiddie,,,,,,,,,,
Tazewell,39821,Russell,Smyth,Bland,,,,,,,,,,,,
VirginiaBeachCity,455618,ColonialHeightsCity,NorfolkCity,Mathews,Northampton,HamptonCity,ChesapeakeCity,,,,,,,,,
Warren,41440,Shenandoah,Frederick,Clarke,Fauquier,Rappahannock,Page,,,,,,,,,
Washington,53958,Scott,Russell,Smyth,BristolCity,,,,,,,,,,,
WaynesboroCity,22808,Augusta,,,,,,,,,,,,,,
Westmoreland,18712,KingGeorge,Essex,Richmond,Northumberland,,,,,,,,,,,
WilliamsburgCity,10000,York,Surry,Southampton,NewportNewsCity,JamesCity,IsleOfWight,Frederick,,,,,,,,
WinchesterCity,27936,Frederick,,,,,,,,,,,,,,
Wise,35421,Lee,Scott,Dickenson,NortonCity,,,,,,,,,,,
Wythe,28111,Bland,Smyth,Grayson,Carroll,Pulaski,Tazewell,,,,,,,,,
York,71341,Gloucester,JamesCity,WilliamsburgCity,NewportNewsCity,PoquosonCity,HamptonCity,Northampton,,,,,,,,
